applikasinya,aplikasinya
pengambilang,pengambil
telephone,telepon
utk,untuk
dlm,dalam
dgn,dengan
res,respon
brg,barang
dr,dari
sbg,sebagai
yg,yang
msh,masih
blm,belum
tp,tapi
tdk,tidak
smg,semoga
byk,banyak
gak,tidak
knp,kenapa
udh,udah
tak,tidak
terusss,terus
gk,tidak
ga,tidak
tgl,tanggal
donlod,download
yuks,ayo
apk,aplikasi
gabisa,tidak bisa
d,di
bgtt,banget
teryata,ternyata
dpt,dapat
gt,begitu
apps,aplikasi
gmn,bagaimana
jgn,jangan
nggak,tidak
kyk,seperti
nnt,nanti
klo,kalau
dah,sudah
gimana,bagaimana
sekaliii,sekali
skrg,sekarang
krn,karena
lgsg,langsung
sebel,sebal
nyebelin,menyebalkan
apkilasi,aplikasi
bln,bulan
cepet,cepat
jd,jadi
seneng,senang
jg,juga
dech,deh
g,tidak
tetep,tetap
utk,untuk
nih,ini
aplikasinyaa,aplikasinya
adq,ada
yah,ya
kayaknya,sepertinya
aja,saja
appsnya,aplikasinya
dateng,datang
logon,login
tida,tidak
apli,aplikasi 
dala,dalam
temen,teman
bnyk,banyak
bgttttt,banget
gunain,digunakan
sby,surabaya
pendftran,pendaftaran
pdhal,padahal
aplksi,aplikasi
dkt,dekat
smg,semoga
msk,masuk
sumbar,sumatera barat
prov,provinsi
ngumpulin,mengumpulkan
Hp,telepon 
lg,lagi
krna,karena
prosedu,prosedur
bangetttt,banget
teruss,terus
telp,telepon
adaa,ada
aplksi,aplikasi
ngga,tidak
bangettt,banget
trima,terima
bsa,bisa 
rubah,ubah
dlu,dulu
ngasih,memberikan
klw,kalau
untk,untuk
Regis,registrasi
aayoooo,ayo
semangattt,semangat
tlfn,telepon
no,nomor
penelpon,penelepon
sdh,sudah
ok,oke
waw,wow
kembangkan,dikembangkan
memilaah,memilah
karna,karena
kibul,bohong
digagalkaeun,digagalkan
lbih,lebih
poto,foto
hargana,harganya
ndang,tidak
tlg,tolong
jwban,jawaban
slalu,selalu
bgmn,bagaimana
kmarin,kemarin
lht,lihat
hny,hanya 
pd,pada 
tsb,tersebut
mn,mana
ttg,tentang
bbrp,beberapa
Kenpa,kenapa
tlpn,telepon
gajels,tidak jelas
kanpa,kenapa
ngak,tidak jelas
trs,terus 
gaada,tidak ada 
dg,dengan
uda,sudah
blum,belum
plisss,mohon
sangu,uang saku
hap,telepon
lagii,lagi
Mantaabbbsss,mantap
dftar,daftar
hbis,habis
naruh,menaruh
donload,mengunduh
teruss,terus
yaampun,astaga
Semangattt,semangat
semuaaaaa,semua
tpi,tapi
dri,dari
ampe,sampai
skrng,sekarang
hrus,harus
gimna,bagaimana
tlong,tolong
benar-benar,sungguh-sungguh
bs,bisa
kogin,login
unital,uninstall
kli,kali
telp,telepon
trus,terus
lode,kode
ato,atau
jd,jadi
bgt,banget
sebenrnya,sebenernya
pd,pada
fuitin,duitin
ksh,kasih
knp,kenapa
tdk,tidak
sdh,sudah
rmh,rumah
tngga,tangga
pelayann,pelayanan
bnyk,banyak
nyqman,nyaman
blm,belum
nyampe,sampai
ndak,tidak
Kereen,keren
hub,hubungi
wa,whatsapp
diwnload,mengunduh
ad,ada
trmksh,terimakasih
gabisa,tidak bisa
bener,benar
ngalir,mengalir
bngt,banget
tlg,tolong
gmna,bagaimana
kgk,tidak
knp,kenapa
admi,admin
bs,bisa
sbg,sebagai
jd,jadi
tks,terimakasih
syg,sayang
telpon,telepon
skli,sekali
perhaiki,perbaiki
sepeti,seperti
sma,sama
dianggep,dianggap
dapet,dapat
lgsung,langsung
gajelas,tidak jelas
ferifikasi,verifikasi
kl,kalau
gitu,begitu
gabisaa,tidak bisa
mlh,malah
bgttttttt,banget
tp,tapi
Bgtu,begitu
pncet,tekan
mlah,malah
ntar,sebentar
coz,karena
tryata,ternyata
dlu,dahulu
jdi,jadi
ntr,sebentar
byk,banyak
gamasuk,tidak masuk
dptarin,daftarin
pengen,ingin
dwitin,Duitin
krn,karena
ktanya,kabarnya
lgi,lagi
klau,kalau
dtk,dan kawan-kawan
mksh,terima kasih
knapa,kenapa
aktivin,aktif
online,daring
nmr,nomor
sudh,sudah
amat,sangat 
aj,saja
pun,sekalipun
infonya,informasinya
ngabisin,menghabiskan
wkt,waktu
ttp,tetap
sachet,kemasan
ngak,tidak
sulsel,sulawesi selatan
selfi ,swafoto
pamain,pemain
tryata,ternyata
terbuki,terbukti
nebelin,menebalkan
kudu,harus
dptarin,mendaftarkan
dtg,datang
dwitin,duitin
bisaaaaaaaaaa,bisa
dtk,detik
develofers,developer
klu,kalau
adain,diadakan
taoi,tapi
segitu,begitu
trimakasii ,terima kasih
hrs,harus
scr,secara
bnar,benar 
bekum,belum
uda,sudah
apl,aplikasi
nnyak,bertanya
brng,barang
ijin,izin
gakebesaran,tidak besar
toooop,Top
membantuuw,membantu
brng,barang
smntra,sementara
mo,mau
ug,yang
make,memakai
mantaaf ,mantap
kesalaahan,kesalahan
daftr,daftar
team,tim
kaga,tidak
melagukan,meragukan
ntaps,mantap
mantul,mantap
vrivikasi,verifikasi
bagussss,bagus
bgus,bagus
dn,dan 
gaada,tidak ada 
lamaa,lama
rada,sedikit
pegel,pegal
kerennn,keren
dech,deh
no telp,nomor telepon
mening,mending
gara,karena
aplikasih,aplikasi
yangkut,sangkut
bngat,banget
pdhl,padahal
applikasi,aplikasi 
etelah,setelah
klinya,kalinya
ptorogram,program
udah,sudah
ulangan,ulang 
itung,hitung
aflikasi,aplikasi
lgsng,langsung
puyeng,pusing
jstru,justru
mantab,mantap
donk,dong
skali,sekali
lbh,lebih
nemu,ketemu
nukarin,tukar
progeam,program
spt,seperti
bijih,biji
kmbali,kembali
tnggal,tinggal
Nyoba,mencoba
wktu,waktu
bngtttttt,banget
timakasih,terima kasih
brbagai,berbagai
mu,mau
trims,terima kasih
bget,banget
rama,ramah
narik,menarik
mulu,terus
sbnrnya,sebenarnya
Tapiiiiii,tapi
males,malas
pake,pakai
krmarin,kemarin
gede,besar
ganguan,gangguan
kesalahn,kesalahan
akun2,akun-akun
ksh,kasih
sampein,sampaikan
gimanasi,bagaimana
apakan,diapakan
Sangat baguss,sangat bagus
terlebihn,terlebih
agkt,angkat
kuoata,kuota
Trmsuk,termasuk
kurg,kurang
terbillang,terbilang
naroknya,menaruh
smakin,semakin
lpngn,lapangan
blom,belum
sampag,sampah
bgtt,banget
nich,nih
jaktim,jakarta timur
muter,putar
appk,aplikasi
mhn,mohon
slm,selama
dnk,dong
kmna,kemana
dengn,dengan
rincikan,rincian
tsb,tersebut
photo,foto
ditantang,tantang
memsukan,masukan 
bwt,buat
mikir,fikir
inii,ini
dituker,ditukar
muter,putar
pencet,tekan
sm,sama
nambah,tambah
ad,ada
taya,tanya 
cucok,cocok
tungguin,tunggu
tlng ,tolong
banterai,baterai
chash,cash
knapa,kenapa
ngirim,kirim 
brp,berapa
sluruh,seluruh
beeoperasi,beroperasi
androit,android
kasi,kasih
ja ,saja
mhon,mohon
sangt,sangat
uptodate,diperbarui
x,kali
min,admin
minnn,admin
minnn,admin
mechin,mesin 
bntg,bintang
dc,disconnect
muluk,terus
uda,sudah
pleaseeeee,please
br,baru
mn,mana
gacor,hebat
nunggu,tunggu
Anu,itu
Pkoknya,pokoknya
banyaj,banyak
lalot,lamban
diperljas,diperjelas
melek,melihat
haganya,harganya
barangnnya,barangnya 
Bsk,besok
respown,respon
instal,install
memuang,membuang
cri,cari
prgi,pergi
sngt,sangat
unt,untuk
wil,wilayah
u,untuk
tangsel,tangerang selatan
skiranya,sekiranya
yng,yang
brmamfaat,bermanfaat
smoga,semoga
registnya,registrasinya
mw,mau
ya,iya
engga,tidak
sapa,siapa
